id,numday,numvisit,firstdt,lastdt,homepage,crime,localnews,colbball,sports,colfball,business,usnews,politics,entertain,state,weather,hssports,opinion,realestate,life
7491,78,146,2018-11-14,2019-08-28,538,153,70,42,158,5,11,37,24,5,25,16,4,3,0,18
7492,1,2,2019-03-30,2019-03-30,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7493,1,1,2019-08-31,2019-08-31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7494,8,9,2019-01-07,2019-01-21,8,1,3,0,18,0,3,0,0,1,0,0,0,0,0,5
7495,1,1,2019-02-22,2019-02-22,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7496,2,2,2019-04-12,2019-04-13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7497,1,1,2019-07-23,2019-07-23,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
7498,23,39,2019-02-13,2019-03-10,0,4,0,17,129,0,0,0,1,0,0,0,0,0,0,0
7499,2,3,2019-06-14,2019-06-15,42,1,14,0,0,0,1,2,0,0,0,0,0,0,0,0
7500,23,31,2019-05-01,2019-06-23,211,22,34,4,26,0,1,3,2,12,3,1,0,1,1,19
7501,56,73,2018-12-09,2019-07-08,420,8,15,1,7,0,2,0,1,0,0,1,0,1,5,17
7502,17,24,2019-03-07,2019-06-27,0,0,20,8,69,0,3,0,0,2,0,4,0,0,0,6
7503,1,1,2019-02-23,2019-02-23,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
7504,101,137,2018-12-29,2019-08-31,884,18,258,21,189,0,20,2,3,2,5,7,0,4,7,142
7505,1,1,2018-11-11,2018-11-11,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7506,1,1,2019-07-23,2019-07-23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7507,1,2,2019-06-07,2019-06-07,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7508,6,7,2019-04-19,2019-04-25,31,0,31,1,8,0,0,0,0,0,0,0,0,6,0,1
7509,60,218,2019-03-07,2019-05-07,789,11,48,38,107,0,3,11,11,3,11,1,0,0,0,15
7510,1,1,2019-08-14,2019-08-14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7511,111,413,2019-02-25,2019-08-30,2338,130,413,1,54,0,47,13,12,7,14,17,0,8,6,102
7512,1,1,2019-04-02,2019-04-02,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
7513,1,1,2019-04-03,2019-04-03,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
7514,1,1,2019-08-21,2019-08-21,1,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0
7515,61,71,2019-02-23,2019-08-28,3,7,60,4,144,0,0,0,0,0,0,2,0,0,0,49
7516,1,1,2019-02-06,2019-02-06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7517,1,1,2019-03-22,2019-03-22,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
7518,54,138,2019-05-28,2019-07-27,888,55,185,24,158,0,29,3,2,11,9,5,0,0,3,71
7519,2,5,2019-08-27,2019-08-28,18,1,12,0,0,0,2,0,1,0,0,0,0,3,0,4
7520,1,1,2019-07-18,2019-07-18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7521,1,1,2019-04-21,2019-04-21,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
7522,1,1,2019-06-03,2019-06-03,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
7523,1,1,2019-07-28,2019-07-28,4,0,0,2,21,0,0,0,0,0,0,0,0,0,0,0
7524,5,21,2019-05-27,2019-05-31,370,24,49,3,64,0,1,1,1,0,3,5,0,0,2,12
7525,1,1,2019-08-11,2019-08-11,13,1,11,0,28,0,0,0,0,1,0,0,0,0,0,2
7526,2,3,2019-04-18,2019-04-20,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
7527,2,6,2019-01-28,2019-01-29,31,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
7528,1,1,2019-08-21,2019-08-21,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
7529,17,25,2019-03-21,2019-08-02,75,11,25,0,4,0,6,0,0,0,1,1,0,0,0,0
7530,1,1,2019-02-28,2019-02-28,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
