hhid,ACCOUNT_TYPE,billmonth,contractdt,churn,LINE_COUNT,TOTAL_REV_AMT_MAR07,TOTAL_REV_AMT_APR07,TOTAL_REV_AMT_MAY07,TOTAL_REV_AMT_JUN07,TOTAL_REV_AMT_JUL07,TOTAL_REV_AMT_AUG07,TOTAL_REV_AMT_SEP07,TOTAL_REV_AMT_OCT07,TOTAL_REV_AMT_NOV07,TOTAL_REV_AMT_DEC07,TOTAL_REV_AMT_JAN08,TOTAL_REV_AMT_FEB08,TOTAL_REV_AMT_MAR08,TOTAL_REV_AMT_APR08,TOTAL_REV_AMT_MAY08,t2
124720828,I,Jun 07,05/28/2004,1,0,15,16.5,28.109985352,,,58.319976807,34.989990234,34.989990234,34.989990234,34.989990234,34.989990234,34.989990234,66.729980469,70.179992676,34.989990234,37
128853589,I,Mar 08,03/09/2006,1,0,21.469985962,21.019989014,20.569992065,21.969985962,20.719985962,20.769989014,21.369995117,23.369995117,20.169998169,65.889953613,45.389984131,44.989990234,45.389984131,,,24
216892006,I,Nov 07,05/27/2007,1,0,37.469970703,85.41998291,34.219970703,101.48999023,52.389984131,51.389984131,52.389984131,57.75,50.889984131,,,,,,,6
217364999,I,Jul 07,01/19/2006,1,0,25.129989624,24.979995728,24.979995728,29.929992676,,,28.599990845,97.439941406,25,31.669998169,26.699996948,25,25,25,25,18
247649139,B,Aug 07,05/03/2006,0,8,291.62988281,45.899993896,45.899993896,45.899993896,58.769989014,130.38989258,33.149993896,37.209991455,33.449981689,33.449981689,29.699996948,29.699996948,29.699996948,29.699996948,29.699996948,15
53561696,I,Mar 08,06/02/2004,1,0,180.08996582,67.639953613,4.1499977112,0,0,0,0,55.989990234,49.989990234,49.989990234,56.239990234,53.369995117,49.989990234,,,45
106668783,I,Sep 07,02/07/2006,0,2,26.899993896,26.899993896,26.899993896,33.649993896,93.859985352,41.649993896,33.659973145,102.29998779,123.38995361,69.159973145,66.33996582,69.08996582,68.08996582,69.939941406,68.83996582,19
114050487,I,Jun 07,06/02/2004,0,4,21.019989014,18.769989014,47.109985352,31.799987793,32.149993896,31.199996948,33.599975586,36,34.049987793,40.309997559,34.949981689,34.949981689,34.949981689,34.949981689,34.949981689,36
217368644,I,Mar 08,02/10/2006,0,1,61.899993896,65.399963379,70.149963379,66.849975586,75.849975586,67.099975586,66.849975586,66.849975586,66.849975586,75.849975586,66.849975586,66.849975586,59.009979248,36.899993896,36.899993896,25
217369375,I,Dec 07,12/06/2007,0,2,45,45,45,46.489990234,48.009979248,45,45,45,45,46.5,45,54.049987793,46.489990234,45,45,0
